codistat,codprov_istat,segm3,km,casmez,year,index_stateint
35037,35,3,-286.9285977947445,0,1994,35.27375403046608
35037,35,3,-286.9285977947445,0,1996,35.4388861656189
35037,35,3,-286.9285977947445,0,2001,49.00746208429337
35037,35,3,-286.9285977947445,0,2006,65.79979482293129
35037,35,3,-286.9285977947445,0,2008,70.87107086181641
35037,35,3,-286.9285977947445,0,2013,31.90782498195767
35037,35,3,-286.9285977947445,0,2018,59.33972805738449
35039,35,3,-308.8533633259971,0,1994,38.00598952174187
35039,35,3,-308.8533633259971,0,1996,38.80137556791306
35039,35,3,-308.8533633259971,0,2001,51.78994953632355
35039,35,3,-308.8533633259971,0,2006,66.69433107972145
35039,35,3,-308.8533633259971,0,2008,69.5143461227417
35039,35,3,-308.8533633259971,0,2013,31.52538408339024
35039,35,3,-308.8533633259971,0,2018,60.00240442156792
35040,35,3,-282.9989179621264,0,1994,36.7702761888504
35040,35,3,-282.9989179621264,0,1996,37.82516229152679
35040,35,3,-282.9989179621264,0,2001,49.93843087553978
35040,35,3,-282.9989179621264,0,2006,68.4842791557312
35040,35,3,-282.9989179621264,0,2008,67.91751909255981
35040,35,3,-282.9989179621264,0,2013,33.97495139762759
35040,35,3,-282.9989179621264,0,2018,59.90458512306213
36001,36,3,-273.8239964806035,0,1994,39.07492366433144
36001,36,3,-273.8239964806035,0,1996,39.07448863983154
36001,36,3,-273.8239964806035,0,2001,48.52712854743004
36001,36,3,-273.8239964806035,0,2006,65.05397716164589
36001,36,3,-273.8239964806035,0,2008,68.276127576828
36001,36,3,-273.8239964806035,0,2013,35.12464992702007
36001,36,3,-273.8239964806035,0,2018,59.91310760378838
36002,36,3,-271.6267351674872,0,1994,33.25044276565313
36002,36,3,-271.6267351674872,0,1996,33.38667273521423
36002,36,3,-271.6267351674872,0,2001,44.95240545272827
36002,36,3,-271.6267351674872,0,2006,59.07436418533325
36002,36,3,-271.6267351674872,0,2008,70.47857785224915
36002,36,3,-271.6267351674872,0,2013,38.41181704029441
36002,36,3,-271.6267351674872,0,2018,59.82095663249493
